Category,Title,Snippet
UK-News,"Let's resolve to reconnect, says Welby in new year message",The archbishop of Canterbury will urge people to make personal connections with others in 2020 to create a new unity in a divided society. In his new +ICY
Books,"Be honest. You're not going to read all those books on your holiday, are you?","Every year, about this time, my Instagram feed fills up with pictures of books. They+AOIAgACZ-re piled somewhere between five and ten inches high, sometimes st +ICY"
Music,Mariah Carey's Twitter account hacked on New Year's Eve,"Mariah Carey+AOIAgACZ-s Twitter account appeared to have been hacked late Tuesday afternoon, sharing numerous racist slurs and comments with the singer+AOIAgACZ-s 21.4 +ICY"
Books,Providence Lost by Paul Lay review +AOIAgACT the rise and fall of Oliver Cromwell+AOIAgACZ-s Protectorate,The only public execution of a British head of state occurred 371 years ago outside the Banqueting House in Whitehall on 30 January 1649. It was a rad +ICY
Books,'I'm on the hunt for humour and hope': what will authors be reading in 2020?,"Matt Haig I have been very dark and gloomy with my reading habits this year, perhaps in tune with the social mood. Like a pig sniffing for truffles, I +ICY"
Books,Diary of a Murderer by Kim Young-ha review +AOIAgACT dark stories from South Korea,"Given that loss of memory has become a familiar device in fiction, and the psychopath such a popular character archetype, we shouldn+AOIAgACZ-t be too surprise +ICY"
Books,TS Eliot+AOIAgACZ-s intimate letters to confidante unveiled after 60 years,"A collection of more than 1,000 letters from the Nobel laureate TS Eliot to his confidante and muse Emily Hale is unveiled this week, after having bee +ICY"
UK-News,Visa applications: Home Office refuses to reveal 'high risk' countries,Summary: Campaign groups have criticised the Home Office after it refused to release details of which countries are deemed a +AOIAgACc-risk+AOIAgACd in an algorithm that filter +ICY
UK-News,Victims of NYE Surrey road crash were BA cabin crew,At least seven people have been killed across the UK in road traffic collisions over the new year period. The deaths included three British Airways ca +ICY
UK-News,Man held on suspicion of double murder after bodies found in house,Police have arrested a man on suspicion of murdering two people at a house in the village of Duffield in Derbyshire. The murder investigation was laun +ICY
UK-News,Anti-Islamic slogans spray-painted near mosque in Brixton,"Anti-Islamic slogans have been painted on a building close to a mosque and cultural centre in south London, the Metropolitan police have said. Officer +ICY"
Music,Woodford folk festival review +AOIAgACT a much-needed moment of positivity and reprieve,"If Woodford folk festival was in mourning this year, you wouldn+AOIAgACZ-t have known it. The death in May of festival elder and decade-long patron Bob Hawke c +ICY"
UK-News,Manchester poet Tony Walsh performs tribute to children's hospital,"The performance poet Tony Walsh, whose ode to Manchester became a worldwide hit after the Arena bomb, has written a moving tribute to Royal Manchester +ICY"
Books,The Other Half of Augusta Hope by Joanna Glen review +AOIAgACT high emotions,"Summary: Who is Augusta Hope+AOIAgACZ-s +AOIAgACc-other half+AOIAgACd? In Glen+AOIAgACZ-s debut, shortlisted for the Costa first novel prize, at first it+AOIAgACZ-s Augusta+AOIAgACZ-s twin sister, although the di +ICY"
Music,Tara Erraught/James Baillieu review +AOIAgACT quietly intense and simply exquisite,"Irish mezzo Tara Erraught+AOIAgACZ-s latest Wigmore recital with her pianist James Baillieu took place between Christmas and New Year, though her beautifully c +ICY"
Books,The Reality Bubble by Ziya Tong review +AOIAgACT blind spots and hidden truths,"Publishing functions very much like the fashion world. Like a suddenly ubiquitous cut of hem or style of trainer, a book comes along every few seasons +ICY"
UK-News,Alleged drink-driver arrested on motorway had no front tyres,An alleged drink-driver who was arrested on the motorway on New Year+AOIAgACZ-s Day had been driving without front tyres. The motorist was said to be nearly si +ICY
Books,"MC Beaton, multimillion-selling author of Agatha Raisin novels, dies aged 83","MC Beaton, the prolific creator of the much loved fictional detectives Agatha Raisin and Hamish Macbeth, has died after a short illness at the age of +ICY"
UK-News,Gold from Highlands mine to be made into Scottish jewellery,A small goldmine in the Highlands plans to start producing gold in commercial quantities for the first time after repeated delays. The mine at Cononis +ICY
UK-News,Tell us about your mixed-sex civil partnership plans,"The first mixed-sex couples have started to become civil partners in the UK, following a landmark legal battle won by Rebecca Steinfeld and Charles Ke +ICY"
UK-News,"Isle of Wight+AOIAgACZ-s rattling, rolling, charming ex-tube trains face end of the line",The train trip from Ryde Pier Head to Shanklin on the Isle of Wight in carriages built 80 years ago for the small tunnels of certain London Undergroun +ICY
Books,Meaty by Samantha Irby review +AOIAgACT scatological essays,"To call Samantha Irby+AOIAgACZ-s book scatological would be an understatement. This is a book about assholes +AOIAgACT yes, the kind who cheats on you, or never calls, +ICY"
UK-News,Call for more diverse Lake District sparks row over area's future,The head of the Lake District national park authority (LDNPA) has been accused of using the issue of diversity to push through commercial development +ICY
UK-News,Chef wrongly branded sex offender faces removal from UK,A chef from Bangladesh who was wrongly branded a sex offender by the Home Office is facing removal from the UK despite a court finding that officials +ICY
UK-News,Man arrested after mother stabbed in front of child in Streatham,"A man has been arrested after handing himself in to police following the stabbing of a mother in front of her child in Streatham, south London. The 43 +ICY"
UK-News,Commuters gather at Bolton station in protest over increased rail fares,Frustrated commuters gathered outside Bolton train station on Thursday evening as part of a national day of action to protest against increased rail f +ICY
Books,"TS Eliot+AOIAgACZ-s hidden love letters reveal intense, heartbreaking affair","Summary: TS Eliot+AOIAgACZ-s love letters to scholar Emily Hale, the great poet+AOIAgACZ-s muse and source of +AOIAgACc-supernatural ecstasy+AOIAgACd for more than 30 years, were released on Thu +ICY"
UK-News,"Refusing Scottish help a 'grave error' in blood scandal, letter says",Hundreds of people with haemophilia in England and Wales could have avoided infection from HIV and hepatitis if officials had accepted help from Scotl +ICY
UK-News,"Climate crisis fuels year of record temperatures in UK, says Met Office","Summary: A series of high temperature records were broken in the UK in 2019 as a consequence of the climate crisis, the Met Office has said. The hottest temper +ICY"
Books,'I was half-insane with anxiety': how I wrote myself into a breakdown,"Summary: Last summer, in the midst of promotional chaos surrounding my new novel The Offing, I cancelled my own London book launch and instead drove to the Cha +ICY"
Books,How the Brain Lost Its Mind review +AOIAgACT beyond hysteria,The history of medicine abounds with oddball characters and bizarre events. Yet few figures are quite as eccentric as the French neurologist Jean-Mart +ICY
Music,'Do something weird that works on TikTok': how to write a pop smash in 2020,Landing a No 1 single was a little different at the beginning of the 2010s than it is now. The songwriting and production team TMS +AOIAgACT who have achieved +ICY
UK-News,+AOIAgACY-Bring me home+AOIAgACZ: Ayia Napa teenager asks Boris Johnson to help,"A British teenager found guilty of lying about being gang-raped in Cyprus has pleaded with Boris Johnson to +AOIAgACc-bring me home+AOIAgACd. The teenager, who cannot +ICY"
Books,Nietzsche and the Burbs review +AOIAgACT deadpan philosophical comedy,"Lars Iyer+AOIAgACZ-s follow-up to the celebrated Wittgenstein Jr is another attempt to treat his erstwhile academic specialism, European philosophy, as the bas +ICY"
UK-News,Bury firefighters work through night to tackle huge scrapyard blaze,"Firefighters worked through the night to tackle a huge blaze in a scrapyard in Bury, Greater Manchester. On Friday morning residents were advised to s +ICY"
Music,"Tracks of the week reviewed: Raye, Usher, Lil Uzi Vert","Raye Please Don+AOIAgACZ-t Touch You heard it here first: London pop star Rachel Keen, AKA Raye, is the artist most likely to +AOIAgACc-do a Dua+AOIAgACd in 2020 and make the l +ICY"
Music,Lost in muzak: how ambient became cool,"When Wire, a nightclub in Leeds city centre, recently announced its first residency, it came with a calm-inducing addition: ambient listening sessions +ICY"
Books,The Living Days by Ananda Devi review +AOIAgACT a tale of exploitation,"First published in France in 2013, The Living Days is the 12th novel by the Mauritian author Ananda Devi. Set in London, it tells of the sexual abuse +ICY"
UK-News,Grant Shapps faces calls to set out strategy for future of Northern rail,"The transport secretary is facing calls to set out his plans for the future of Northern rail, after suggesting he could strip the train operator of it +ICY"
UK-News,Man in court over murder of estranged wife and new partner,A former headteacher has appeared in court charged with murdering his estranged wife and her new partner in the early hours of New Year+AOIAgACZ-s Day. Rhys Ha +ICY
Books,Architecture in Global Socialism by +AMUAgQ-ukasz Stanek review +AOIAgACT a book that rewrites the cold war,"If you rummage through boxes of postcards in Polish secondhand shops, they reveal an unexpected geography +AOIAgACT places few Poles would now go. They+AOIAgACZ-re not +ICY"
Music,Mystery of Rolling Stones tracks posted briefly on YouTube,"A mysterious YouTube account that posted, then hid, a collection of 75 rare and unpublished Rolling Stones recordings may have been a canny attempt to +ICY"
UK-News,Portrait of the Queen and three future kings released,"The Queen strikes a familiar pose with handbag firmly looped on forearm in a new portrait alongside three future kings, released to mark the start of +ICY"
Books,The Death of Jesus by JM Coetzee review +AOIAgACT a boy who challenges the world,"Martin Amis once complained that JM Coetzee had +AOIAgACc-got no talent+AOIAgACd, showing perhaps that obsessive ranking of talent (here used in a far more debased sen +ICY"
Books,Braised Pork by An Yu review +AOIAgACT a startlingly original debut,"Weird things keep happening in An Yu+AOIAgACZ-s debut novel, Braised Pork. First, a Beijing businessman drowns in a bathtub. Later, a fish tank goes up in flam +ICY"
Books,Humiliation by Paulina Flores review +AOIAgACT empathetic short stories,"In this impressive debut, nimbly translated by Megan McDowell, Flores explores the indignities of poverty, widespread in her native Chile. In the priz +ICY"
Books,Vigdis Hjorth: +AOIAgACY-I won+AOIAgACZ-t talk about my family+AOIAgACm I+AOIAgACZ-m in enough trouble+AOIAgACZ,"Summary: +AOIAgACc-Most families have a kind of official family story,+AOIAgACd Vigdis Hjorth says. +AOIAgACcAOIAgACY-This is how we do Christmas+AOIAgACZ, and so on. If one member does not share this +ICY"
Books,White romance novelist in racism row says she was used,A white romance novelist+AOIAgACZ-s ethics complaint against the author Courtney Milan for calling her book a +AOIAgACc-racist mess+AOIAgACd led to the censure of Milan and spa +ICY
UK-News,Man in hospital after ingesting substance thought to be ricin,A man has been taken to hospital in Greater Manchester after reportedly swallowing a poisonous substance believed to be ricin. Police cordoned off Moo +ICY
UK-News,Fresh Cambridge Analytica leak +AOIAgACY-shows global manipulation is out of control+AOIAgACZ,An explosive leak of tens of thousands of documents from the defunct data firm Cambridge Analytica is set to expose the inner workings of the company +ICY
Books,Book clinic: what are the best titles to help us through tough times?,"Summary: Q: Can you recommend books to help us through tough times +AOIAgACT books about how to persevere under difficult circumstances? Angela Robertson, 50, Edinburg +ICY"
Books,Joseph O+AOIAgACZ-Connor: +AOIAgACY-A prize nomination brings out your inner Gollum+AOIAgACZ,"Irish novelist Joseph O+AOIAgACZ-Connor is the author of 18 books, including the bestselling Star of the Sea. His most recent, Shadowplay, won novel of the yea +ICY"
Books,Obituary: Alexander Frater 1937-2020,"Alexander Frater, the chief travel writer of the Observer from 1986 to 1998 and the author of highly successful travel books, including Chasing the Mo +ICY"
Books,In the Dream House by Carmen Maria Machado +AOIAgACT review,+AOIAgACc-You+AOIAgACZ-re not allowed to write about this+AOIAgACm Don+AOIAgACZ-t you ever write about this. Do you fucking understand me?+AOIAgACd So said Carmen Maria Machado+AOIAgACZ-s ex-girlfriend +ICY
UK-News,Rebel alliance ready to put a halt to  the +AOIAgACY-disneyfication+AOIAgACZ of Edinburgh,"Summary: For 800 years or so the castle that keeps watch above Scotland+AOIAgACZ-s capital has borne witness to the bloody rise and fall of kingdoms and nations. Now, t +ICY"
Music,Pavel Kolesnikov review +AOIAgACT an outstanding pianist in every degree,"Dusk to Dawn was the title of Pavel Kolesnikov+AOIAgACY-s latest Wigmore recital, a superb, wonderfully programmed evening that more than confirmed the London- +ICY"
UK-News,Relaunch of Newcastle's City Baths begins 'year of hope' for historic pools,Newcastle+AOIAgACZ-s municipal Turkish baths are to reopen this month in what campaigners have dubbed +AOIAgACc-a year of hope+AOIAgACd for historic swimming pools around the c +ICY
Books,In brief: On the Up; How to Be an Activist; The Silent Patient +AOIAgACT reviews,"Summary: On the Up Alice O+AOIAgACZ-Keeffe Hodder & Stoughton, +AMIAow-16.99, pp336 Sylvia lives with her partner and two children in a run-down block of flats in east London. +ICY"
UK-News,Police investigate care of elderly people in Westminster home,"Police have interviewed four women under caution in a criminal investigation into the treatment of about 30 elderly people at a London care home, the +ICY"
